species,mean_pct_bites_on_coral,replicates
Sparisoma viride,2.3784126984126983,63
Scarus taeniopterus,1.852972972972973,74
Scarus vetula,1.0246969696969697,66
Scarus guacamaia,0.92,16
Sparisoma aurofrenatum,0.3694366197183099,71
Sparisoma rubripinne,0.26187499999999997,48
Scarus coelestinus,0.02,18
Scarus coeruleus,0,19
Scarus iseri,0,28
Sparisoma chrysopterum,0,45
