,region,site,date,depth_m,transect,colony_id,coral_species,col_size,l_cm,w_cm,percent_live,percent_col_inside,n_scars,percent_new,scar_min_mm2,scar_max_mm2,scar_med_mm2
48,Panamá,Seagal,2013-07-09,10,1,48,Siderastrea siderea,20 to 40,22,18,100,100,18,0,NA,NA,NA
49,Panamá,Seagal,2013-07-09,5,2,49,Branching Porites spp.,80+,270,141,60,55,7,14,9.425,25.133,21.991
50,Panamá,Seagal,2013-07-09,5,2,50,Branching Porites spp.,10 to 20,13,10,100,100,3,0,NA,NA,NA
51,Panamá,Seagal,2013-07-09,5,2,51,Branching Porites spp.,80+,84,28,100,100,32,3,9.425,23.562,15.708
52,Panamá,Seagal,2013-07-09,5,2,52,Branching Porites spp.,10 to 20,13,8,100,100,5,0,NA,NA,NA
53,Panamá,Seagal,2013-07-09,5,2,53,Branching Porites spp.,5 to 10,9,7,100,100,8,0,NA,NA,NA
54,Panamá,Seagal,2013-07-09,5,2,54,Branching Porites spp.,5 to 10,9,8,100,100,5,0,NA,NA,NA
55,Panamá,Seagal,2013-07-09,5,2,55,Branching Porites spp.,5 to 10,9,7,100,100,1,0,NA,NA,NA
56,Panamá,Seagal,2013-07-09,5,2,56,Branching Porites spp.,20 to 40,15,20,100,100,13,0,NA,NA,NA
57,Panamá,Seagal,2013-07-09,5,2,57,Branching Porites spp.,10 to 20,15,15,100,100,3,0,NA,NA,NA
58,Panamá,Seagal,2013-07-09,5,2,58,Branching Porites spp.,20 to 40,22,11,100,100,7,0,NA,NA,NA
59,Panamá,Seagal,2013-07-09,5,2,59,Madracis auretenra,20 to 40,22,20,95,100,15,0,NA,NA,NA
60,Panamá,Seagal,2013-07-09,5,2,60,Branching Porites spp.,20 to 40,23,13,100,100,18,28,7.069,53.407,14.137
61,Panamá,Seagal,2013-07-09,5,2,61,Branching Porites spp.,10 to 20,17,15,100,100,20,0,NA,NA,NA
62,Panamá,Crawl Cay,2013-07-10,10,1,62,Madracis auretenra,80+,90,39,90,100,3,100,7.069,12.566,9.425
63,Panamá,Crawl Cay,2013-07-10,10,1,63,Madracis auretenra,20 to 40,20,14,100,100,3,100,9.425,16.493,15.708
64,Panamá,Crawl Cay,2013-07-10,10,1,64,Agaricia tenuifolia,20 to 40,21,21,100,100,3,100,15.708,169.646,56.549
65,Panamá,Crawl Cay,2013-07-10,10,1,65,Helioseris cucullata,<5,2.5,2,100,100,1,0,NA,NA,NA
66,Panamá,Crawl Cay,2013-07-10,10,1,66,Siderastrea siderea,20 to 40,21,19,100,100,13,8,31.416,49.48,47.124
67,Panamá,Crawl Cay,2013-07-10,5,2,67,Porites astreoides,10 to 20,11,8,100,100,3,67,7.069,23.562,18.85
68,Panamá,Crawl Cay,2013-07-10,5,2,68,Siderastrea siderea,40 to 80,61,41,20,100,0,0,NA,NA,NA
69,Panamá,Crawl Cay,2013-07-10,5,2,69,Siderastrea siderea,40 to 80,57,46,75,100,16,0,NA,NA,NA
70,Panamá,Crawl Cay,2013-07-10,5,2,70,Diploria strigosa,80+,127,98,60,100,0,0,NA,NA,NA
71,Panamá,Crawl Cay,2013-07-10,5,2,71,Porites astreoides,10 to 20,16,15,100,100,20,0,NA,NA,NA
72,Panamá,Crawl Cay,2013-07-10,5,2,72,Branching Porites spp.,40 to 80,62,43,100,25,9,4,28.274,122.522,65.973
73,Panamá,Crawl Cay,2013-07-10,5,2,73,Porites astreoides,10 to 20,11,10,60,100,0,0,NA,NA,NA
74,Panamá,Crawl Cay,2013-07-10,5,2,74,Porites astreoides,20 to 40,36,31,15,100,0,0,NA,NA,NA
75,Panamá,Crawl Cay,2013-07-10,5,2,75,Branching Porites spp.,20 to 40,32,18,100,100,3,67,47.124,134.303,87.965
76,Panamá,Finca,2013-07-11,10,1,76,Agaricia lamarcki,20 to 40,28,22,80,100,0,0,NA,NA,NA
77,Panamá,Finca,2013-07-11,10,1,77,Siderastrea siderea,40 to 80,45,26,10,100,0,0,NA,NA,NA
78,Panamá,Finca,2013-07-11,10,1,78,Siderastrea siderea,10 to 20,18,14,100,100,19,0,NA,NA,NA
79,Panamá,Finca,2013-07-11,10,1,79,Siderastrea siderea,10 to 20,17,10,100,100,24,0,NA,NA,NA
80,Panamá,Finca,2013-07-11,10,1,80,Siderastrea siderea,10 to 20,13,6,100,100,11,0,NA,NA,NA
81,Panamá,Finca,2013-07-11,10,1,81,Siderastrea siderea,20 to 40,24,12,60,100,9,0,NA,NA,NA
82,Panamá,Finca,2013-07-11,10,1,82,Siderastrea siderea,20 to 40,34,18,25,100,0,0,NA,NA,NA
83,Panamá,Finca,2013-07-11,10,1,83,Porites astreoides,10 to 20,12,10,80,100,12,0,NA,NA,NA
84,Panamá,Finca,2013-07-11,10,1,84,Siderastrea siderea,20 to 40,36,19,100,100,40,0,NA,NA,NA
85,Panamá,Finca,2013-07-11,10,1,85,Siderastrea siderea,20 to 40,28,10,10,100,15,0,NA,NA,NA
86,Panamá,Finca,2013-07-11,10,1,86,Siderastrea siderea,20 to 40,23,18,70,100,25,0,NA,NA,NA
87,Panamá,Finca,2013-07-11,5,2,87,Branching Porites spp.,80+,117,72,50,100,25,0,NA,NA,NA
88,Panamá,Finca,2013-07-11,5,2,88,Branching Porites spp.,40 to 80,56,33,90,100,17,41,23.562,219.911,42.412
