region,date,site,min,species,stage,transect,n_pf,min_start,dist_m,depth_m,fl_cm
St. Croix,7/8/18,Cane Bay,0,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,0,13.7,28
St. Croix,7/8/18,Cane Bay,0,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,0,13.7,29
St. Croix,7/8/18,Cane Bay,1,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,12,13.1,32
St. Croix,7/8/18,Cane Bay,2,Sparisoma viride,IP,1,1,2018-07-08T15:28:00Z,16,14,18
St. Croix,7/8/18,Cane Bay,2,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,16,14,16
St. Croix,7/8/18,Cane Bay,3,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,22,14.6,31
St. Croix,7/8/18,Cane Bay,3,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,22,15.2,18
St. Croix,7/8/18,Cane Bay,4,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,18,14.3,15
St. Croix,7/8/18,Cane Bay,5,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,16,14.3,31
St. Croix,7/8/18,Cane Bay,5,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,16,13.4,17
St. Croix,7/8/18,Cane Bay,6,Sparisoma viride,TP,1,1,2018-07-08T15:28:00Z,15,13.4,34
St. Croix,7/8/18,Cane Bay,6,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,15,13.4,16
St. Croix,7/8/18,Cane Bay,6,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,15,13.4,17
St. Croix,7/8/18,Cane Bay,7,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,20,16.2,26
St. Croix,7/8/18,Cane Bay,7,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,20,15.2,18
St. Croix,7/8/18,Cane Bay,8,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,17,15.2,28
St. Croix,7/8/18,Cane Bay,8,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,15.2,16
St. Croix,7/8/18,Cane Bay,8,Scarus iseri,IP,1,1,2018-07-08T15:28:00Z,17,15.2,16
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,16
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,17
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,20
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,17,14,15
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,17,14,19
St. Croix,7/8/18,Cane Bay,9,Scarus taeniopterus,TP,1,1,2018-07-08T15:28:00Z,17,14,22
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,39,15.2,24
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,39,15.2,17
St. Croix,7/8/18,Cane Bay,13,Sparisoma chrysopterum,TP,1,1,2018-07-08T15:28:00Z,42,15.8,32
St. Croix,7/8/18,Cane Bay,13,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,42,15.8,15
St. Croix,7/8/18,Cane Bay,13,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,42,15.8,17
St. Croix,7/8/18,Cane Bay,13,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,42,15.8,21
St. Croix,7/8/18,Cane Bay,14,Scarus iseri,TP,1,1,2018-07-08T15:28:00Z,19,16.2,19
St. Croix,7/8/18,Cane Bay,14,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,19,16.2,17
St. Croix,7/8/18,Cane Bay,15,Sparisoma viride,IP,1,1,2018-07-08T15:28:00Z,18,16.8,28
St. Croix,7/8/18,Cane Bay,15,Scarus vetula,TP,1,1,2018-07-08T15:28:00Z,18,16.8,33
St. Croix,7/8/18,Cane Bay,15,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,18,16.8,22
St. Croix,7/8/18,Cane Bay,16,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,16,15.5,16
St. Croix,7/8/18,Cane Bay,16,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,16,15.5,26
St. Croix,7/8/18,Cane Bay,17,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,13,14.6,27
St. Croix,7/8/18,Cane Bay,17,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,13,14.6,23
St. Croix,7/8/18,Cane Bay,18,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,18,14.9,16
St. Croix,7/8/18,Cane Bay,18,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,18,14.9,21
St. Croix,7/8/18,Cane Bay,19,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,19,14.3,18
St. Croix,7/8/18,Cane Bay,20,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,20,15.2,18
St. Croix,7/8/18,Cane Bay,20,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,20,15.2,17
St. Croix,7/8/18,Cane Bay,20,Sparisoma chrysopterum,TP,1,1,2018-07-08T15:28:00Z,20,15.2,32
St. Croix,7/8/18,Cane Bay,21,Sparisoma aurofrenatum,TP,1,1,2018-07-08T15:28:00Z,21,14.6,26
St. Croix,7/8/18,Cane Bay,21,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,21,14.6,18
St. Croix,7/8/18,Cane Bay,21,Scarus vetula,TP,1,1,2018-07-08T15:28:00Z,21,14.6,34
St. Croix,7/8/18,Cane Bay,21,Sparisoma aurofrenatum,IP,1,1,2018-07-08T15:28:00Z,21,14.6,17
St. Croix,7/8/18,Cane Bay,21,Scarus taeniopterus,IP,1,1,2018-07-08T15:28:00Z,21,14.6,26
St. Croix,7/8/18,Cane Bay,0,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,0,10.4,15
St. Croix,7/8/18,Cane Bay,1,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,17,11.3,28
St. Croix,7/8/18,Cane Bay,1,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,17,11.3,26
St. Croix,7/8/18,Cane Bay,1,Scarus taeniopterus,TP,2,1,2018-07-08T15:53:00Z,17,11.3,28
St. Croix,7/8/18,Cane Bay,2,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,16,11,18
St. Croix,7/8/18,Cane Bay,2,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,16,11,18
St. Croix,7/8/18,Cane Bay,2,Scarus taeniopterus,TP,2,1,2018-07-08T15:53:00Z,16,11,18
St. Croix,7/8/18,Cane Bay,4,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,30,10.7,20
St. Croix,7/8/18,Cane Bay,5,Scarus taeniopterus,IP,2,1,2018-07-08T15:53:00Z,15,10.1,18
St. Croix,7/8/18,Cane Bay,6,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,16,10.4,21
St. Croix,7/8/18,Cane Bay,6,Scarus taeniopterus,TP,2,1,2018-07-08T15:53:00Z,16,10.4,27
St. Croix,7/8/18,Cane Bay,7,Sparisoma viride,TP,2,1,2018-07-08T15:53:00Z,13,10.7,30
St. Croix,7/8/18,Cane Bay,7,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,13,10.7,18
St. Croix,7/8/18,Cane Bay,7,Scarus taeniopterus,IP,2,1,2018-07-08T15:53:00Z,13,10.7,18
St. Croix,7/8/18,Cane Bay,8,Scarus taeniopterus,IP,2,1,2018-07-08T15:53:00Z,14,11,16
St. Croix,7/8/18,Cane Bay,8,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,14,11,18
St. Croix,7/8/18,Cane Bay,9,Sparisoma viride,TP,2,1,2018-07-08T15:53:00Z,16,10.7,28
St. Croix,7/8/18,Cane Bay,9,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,16,10.7,23
St. Croix,7/8/18,Cane Bay,10,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,15,10.4,19
St. Croix,7/8/18,Cane Bay,10,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,15,10.4,23
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,15,10.4,24
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,15,10.4,25
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,15,10.4,16
St. Croix,7/8/18,Cane Bay,11,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,15,10.4,27
St. Croix,7/8/18,Cane Bay,12,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,16,10.4,20
St. Croix,7/8/18,Cane Bay,12,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,16,10.4,15
St. Croix,7/8/18,Cane Bay,14,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,34,10.7,28
St. Croix,7/8/18,Cane Bay,14,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,34,10.7,26
St. Croix,7/8/18,Cane Bay,14,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,34,10.7,15
St. Croix,7/8/18,Cane Bay,15,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,12,11,17
St. Croix,7/8/18,Cane Bay,15,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,12,11,32
St. Croix,7/8/18,Cane Bay,15,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,12,11,24
St. Croix,7/8/18,Cane Bay,16,Sparisoma viride,TP,2,1,2018-07-08T15:53:00Z,17,10.7,32
St. Croix,7/8/18,Cane Bay,16,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,17,10.7,18
St. Croix,7/8/18,Cane Bay,18,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,34,11,20
St. Croix,7/8/18,Cane Bay,18,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,34,11,21
St. Croix,7/8/18,Cane Bay,19,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,17,10.7,25
St. Croix,7/8/18,Cane Bay,20,Scarus vetula,TP,2,1,2018-07-08T15:53:00Z,18,9.8,33
St. Croix,7/8/18,Cane Bay,20,Sparisoma viride,IP,2,1,2018-07-08T15:53:00Z,18,9.8,30
St. Croix,7/8/18,Cane Bay,21,Sparisoma viride,TP,2,1,2018-07-08T15:53:00Z,15,10.1,33
St. Croix,7/8/18,Cane Bay,21,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,15,10.1,25
St. Croix,7/8/18,Cane Bay,21,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,15,10.1,25
St. Croix,7/8/18,Cane Bay,22,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,17,10.4,25
St. Croix,7/8/18,Cane Bay,22,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,17,10.4,18
St. Croix,7/8/18,Cane Bay,22,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,17,10.4,24
St. Croix,7/8/18,Cane Bay,23,Sparisoma aurofrenatum,IP,2,1,2018-07-08T15:53:00Z,18,10.7,17
St. Croix,7/8/18,Cane Bay,23,Scarus taeniopterus,IP,2,1,2018-07-08T15:53:00Z,18,10.7,18
St. Croix,7/8/18,Cane Bay,24,Sparisoma aurofrenatum,TP,2,1,2018-07-08T15:53:00Z,20,9.8,19
St. Croix,7/8/18,Cane Bay,24,Scarus taeniopterus,IP,2,1,2018-07-08T15:53:00Z,20,9.8,20
St. Croix,7/27/18,Salt River,0,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,0,15.2,15
St. Croix,7/27/18,Salt River,0,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,0,15.2,26
St. Croix,7/27/18,Salt River,0,Sparisoma aurofrenatum,TP,1,1,2018-07-27T09:53:00Z,0,15.2,22
St. Croix,7/27/18,Salt River,1,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,18,14.9,15
St. Croix,7/27/18,Salt River,1,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,18,14.9,17
St. Croix,7/27/18,Salt River,1,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,18,14.9,21
St. Croix,7/27/18,Salt River,1,Sparisoma aurofrenatum,TP,1,1,2018-07-27T09:53:00Z,18,14.9,23
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,14,14.6,17
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,14,14.6,16
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,14,14.6,15
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,14,14.6,25
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,14,14.6,25
St. Croix,7/27/18,Salt River,2,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,14,14.6,17
St. Croix,7/27/18,Salt River,3,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,13,15.8,15
St. Croix,7/27/18,Salt River,3,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,13,15.8,20
St. Croix,7/27/18,Salt River,3,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,13,15.8,16
St. Croix,7/27/18,Salt River,3,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,13,15.8,19
St. Croix,7/27/18,Salt River,4,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,17,17.7,16
St. Croix,7/27/18,Salt River,5,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,17,15.5,27
St. Croix,7/27/18,Salt River,6,Sparisoma aurofrenatum,TP,1,1,2018-07-27T09:53:00Z,13,15.5,20
St. Croix,7/27/18,Salt River,7,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,17,15.8,26
St. Croix,7/27/18,Salt River,7,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,17,15.8,16
St. Croix,7/27/18,Salt River,7,Sparisoma viride,TP,1,1,2018-07-27T09:53:00Z,17,15.8,27
St. Croix,7/27/18,Salt River,7,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,17,15.8,20
St. Croix,7/27/18,Salt River,7,Sparisoma viride,TP,1,1,2018-07-27T09:53:00Z,17,15.8,29
St. Croix,7/27/18,Salt River,8,Scarus vetula,TP,1,1,2018-07-27T09:53:00Z,11,14.3,33
St. Croix,7/27/18,Salt River,8,Sparisoma aurofrenatum,TP,1,1,2018-07-27T09:53:00Z,11,14.3,19
St. Croix,7/27/18,Salt River,8,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,11,14.3,28
St. Croix,7/27/18,Salt River,8,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,11,14.3,16
St. Croix,7/27/18,Salt River,8,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,11,14.3,15
St. Croix,7/27/18,Salt River,9,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,15,13.4,17
St. Croix,7/27/18,Salt River,11,Scarus taeniopterus,IP,1,1,2018-07-27T09:53:00Z,23,11,16
St. Croix,7/27/18,Salt River,12,Sparisoma viride,TP,1,1,2018-07-27T09:53:00Z,13,11.6,32
St. Croix,7/27/18,Salt River,12,Scarus vetula,TP,1,1,2018-07-27T09:53:00Z,13,11.6,29
St. Croix,7/27/18,Salt River,14,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,38,14.9,26
St. Croix,7/27/18,Salt River,14,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,38,14.9,16
St. Croix,7/27/18,Salt River,15,Sparisoma chrysopterum,IP,1,1,2018-07-27T09:53:00Z,16,14.6,24
St. Croix,7/27/18,Salt River,15,Sparisoma chrysopterum,IP,1,1,2018-07-27T09:53:00Z,16,14.6,28
St. Croix,7/27/18,Salt River,15,Sparisoma chrysopterum,IP,1,1,2018-07-27T09:53:00Z,16,14.6,26
St. Croix,7/27/18,Salt River,15,Sparisoma chrysopterum,TP,1,1,2018-07-27T09:53:00Z,16,14.6,29
St. Croix,7/27/18,Salt River,15,Sparisoma chrysopterum,TP,1,1,2018-07-27T09:53:00Z,16,14.6,30
St. Croix,7/27/18,Salt River,16,Sparisoma aurofrenatum,TP,1,1,2018-07-27T09:53:00Z,12,14.9,27
St. Croix,7/27/18,Salt River,16,Sparisoma aurofrenatum,TP,1,1,2018-07-27T09:53:00Z,12,14.9,25
St. Croix,7/27/18,Salt River,16,Scarus taeniopterus,TP,1,1,2018-07-27T09:53:00Z,12,14.9,25
St. Croix,7/27/18,Salt River,16,Sparisoma aurofrenatum,IP,1,1,2018-07-27T09:53:00Z,12,14.9,15
St. Croix,7/27/18,Salt River,0,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,0,9.8,23
St. Croix,7/27/18,Salt River,0,Scarus vetula,IP,2,1,2018-07-27T10:18:00Z,0,9.8,24
St. Croix,7/27/18,Salt River,1,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,10,7.9,30
St. Croix,7/27/18,Salt River,1,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,10,7.9,29
St. Croix,7/27/18,Salt River,1,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,10,7.9,29
St. Croix,7/27/18,Salt River,1,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,10,7.9,28
St. Croix,7/27/18,Salt River,1,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,10,7.9,26
St. Croix,7/27/18,Salt River,1,Sparisoma viride,TP,2,1,2018-07-27T10:18:00Z,10,7.9,31
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,11,8.8,17
St. Croix,7/27/18,Salt River,2,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,11,8.8,18
St. Croix,7/27/18,Salt River,2,Sparisoma viride,TP,2,1,2018-07-27T10:18:00Z,11,8.8,33
St. Croix,7/27/18,Salt River,2,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,11,8.8,26
St. Croix,7/27/18,Salt River,2,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,11,8.8,28
St. Croix,7/27/18,Salt River,3,Scarus taeniopterus,TP,2,1,2018-07-27T10:18:00Z,8,8.8,26
St. Croix,7/27/18,Salt River,3,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,8,8.8,24
St. Croix,7/27/18,Salt River,3,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,8,8.8,16
St. Croix,7/27/18,Salt River,4,Scarus taeniopterus,TP,2,1,2018-07-27T10:18:00Z,10,9.8,27
St. Croix,7/27/18,Salt River,4,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,10,9.8,29
St. Croix,7/27/18,Salt River,4,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,10,9.8,15
St. Croix,7/27/18,Salt River,5,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,14,9.4,30
St. Croix,7/27/18,Salt River,5,Sparisoma viride,TP,2,1,2018-07-27T10:18:00Z,14,9.4,29
St. Croix,7/27/18,Salt River,5,Sparisoma viride,TP,2,1,2018-07-27T10:18:00Z,14,9.4,28
St. Croix,7/27/18,Salt River,5,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,14,9.4,24
St. Croix,7/27/18,Salt River,5,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,14,9.4,25
St. Croix,7/27/18,Salt River,6,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,14,9.4,23
St. Croix,7/27/18,Salt River,6,Scarus taeniopterus,TP,2,1,2018-07-27T10:18:00Z,14,9.4,25
St. Croix,7/27/18,Salt River,6,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,14,9.4,22
St. Croix,7/27/18,Salt River,7,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,14,8.5,23
St. Croix,7/27/18,Salt River,7,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,14,8.5,26
St. Croix,7/27/18,Salt River,7,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,14,8.5,17
St. Croix,7/27/18,Salt River,7,Sparisoma viride,TP,2,1,2018-07-27T10:18:00Z,14,8.5,27
St. Croix,7/27/18,Salt River,8,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,16,8.2,15
St. Croix,7/27/18,Salt River,8,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,16,8.2,15
St. Croix,7/27/18,Salt River,8,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,16,8.2,25
St. Croix,7/27/18,Salt River,8,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,16,8.2,20
St. Croix,7/27/18,Salt River,8,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,16,8.2,15
St. Croix,7/27/18,Salt River,9,Scarus iseri,TP,2,1,2018-07-27T10:18:00Z,14,7,25
St. Croix,7/27/18,Salt River,9,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,14,7,29
St. Croix,7/27/18,Salt River,9,Scarus taeniopterus,TP,2,1,2018-07-27T10:18:00Z,14,7,28
St. Croix,7/27/18,Salt River,9,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,14,7,16
St. Croix,7/27/18,Salt River,9,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,14,7,17
St. Croix,7/27/18,Salt River,9,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,14,7,17
St. Croix,7/27/18,Salt River,10,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,12,7.3,24
St. Croix,7/27/18,Salt River,10,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,12,7.3,16
St. Croix,7/27/18,Salt River,10,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,12,7.3,18
St. Croix,7/27/18,Salt River,11,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,17,7.3,15
St. Croix,7/27/18,Salt River,11,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,17,7.3,19
St. Croix,7/27/18,Salt River,11,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,17,7.3,24
St. Croix,7/27/18,Salt River,11,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,17,7.3,24
St. Croix,7/27/18,Salt River,11,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,17,7.3,28
St. Croix,7/27/18,Salt River,11,Sparisoma chrysopterum,TP,2,1,2018-07-27T10:18:00Z,17,7.3,28
St. Croix,7/27/18,Salt River,11,Scarus taeniopterus,TP,2,1,2018-07-27T10:18:00Z,17,7.3,27
St. Croix,7/27/18,Salt River,11,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,17,7.3,18
St. Croix,7/27/18,Salt River,11,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,17,7.3,15
St. Croix,7/27/18,Salt River,11,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,17,7.3,16
St. Croix,7/27/18,Salt River,12,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,10,7.3,15
St. Croix,7/27/18,Salt River,12,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,10,7.3,15
St. Croix,7/27/18,Salt River,12,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,10,7.3,15
St. Croix,7/27/18,Salt River,12,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,10,7.3,16
St. Croix,7/27/18,Salt River,12,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,10,7.3,17
St. Croix,7/27/18,Salt River,12,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,10,7.3,17
St. Croix,7/27/18,Salt River,12,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,10,7.3,18
St. Croix,7/27/18,Salt River,13,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,14,7,15
St. Croix,7/27/18,Salt River,13,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,14,7,15
St. Croix,7/27/18,Salt River,13,Sparisoma viride,TP,2,1,2018-07-27T10:18:00Z,14,7,32
St. Croix,7/27/18,Salt River,13,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,14,7,26
St. Croix,7/27/18,Salt River,13,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,14,7,24
St. Croix,7/27/18,Salt River,13,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,14,7,18
St. Croix,7/27/18,Salt River,13,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,14,7,15
St. Croix,7/27/18,Salt River,13,Sparisoma viride,IP,2,1,2018-07-27T10:18:00Z,14,7,25
St. Croix,7/27/18,Salt River,13,Scarus iseri,TP,2,1,2018-07-27T10:18:00Z,14,7,27
St. Croix,7/27/18,Salt River,14,Sparisoma aurofrenatum,TP,2,1,2018-07-27T10:18:00Z,17,7,26
St. Croix,7/27/18,Salt River,14,Scarus taeniopterus,TP,2,1,2018-07-27T10:18:00Z,17,7,25
St. Croix,7/27/18,Salt River,14,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,17,7,15
St. Croix,7/27/18,Salt River,14,Sparisoma chrysopterum,IP,2,1,2018-07-27T10:18:00Z,17,7,16
St. Croix,7/27/18,Salt River,14,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,17,7,15
St. Croix,7/27/18,Salt River,14,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,17,7,16
St. Croix,7/27/18,Salt River,14,Scarus iseri,TP,2,1,2018-07-27T10:18:00Z,17,7,24
St. Croix,7/27/18,Salt River,15,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,18,6.7,23
St. Croix,7/27/18,Salt River,15,Sparisoma aurofrenatum,IP,2,1,2018-07-27T10:18:00Z,18,6.7,15
St. Croix,7/27/18,Salt River,15,Scarus iseri,IP,2,1,2018-07-27T10:18:00Z,18,6.7,15
St. Croix,7/27/18,Salt River,15,Scarus taeniopterus,IP,2,1,2018-07-27T10:18:00Z,18,6.7,16
