species,mean_pct_bites_on_coral,replicates
Sparisoma viride,2.38,63
Scarus taeniopterus,1.85,74
Scarus vetula,1.02,66
Scarus guacamaia,0.92,16
Sparisoma aurofrenatum,0.37,71
Sparisoma rubripinne,0.26,48
Scarus coelestinus,0.02,18
Scarus coeruleus,0,19
Scarus iseri,0,28
Sparisoma chrysopterum,0,45
